1	2	3	
2	15785	1	
2	11992	1	
2	17626	1	
2	8927	1	
2	13537	1	
2	5859	1	
2	20774	1	
2	8425	1	
2	9450	1	
2	22262	1	
2	16340	1	
2	17150	2	
2	8961	1	
2	7938	1	
2	14595	1	
2	4868	1	
2	18181	1	
2	19718	1	
2	17671	1	
2	17162	1	
2	779	1	
2	4364	2	
2	17679	2	
2	20604	1	
2	15128	1	
2	7451	1	
2	797	1	
2	19742	1	
2	16672	1	
2	18209	1	
2	19238	2	
2	8449	1	
2	21295	1	
2	15664	2	
2	5425	1	
2	5433	2	
2	1664	1	
2	10975	3	
2	20284	1	
2	13118	1	
2	2883	1	
2	838	1	
2	839	3	
2	846	1	
2	21839	1	
2	2899	2	
2	14677	2	
2	3927	1	
2	22369	1	
2	13159	1	
2	1340	1	
2	9069	1	
2	6511	1	
2	8568	1	
2	8929	1	
2	16252	1	
2	16175	1	
2	11652	1	
2	2443	3	
2	5005	1	
2	11152	1	
2	22418	1	
2	19347	1	
2	12183	2	
2	17818	1	
2	13724	1	
2	17821	2	
2	15266	1	
2	1959	1	
2	20905	1	
2	22442	2	
2	18866	4	
2	18867	1	
2	5248	1	
2	19898	1	
2	8636	1	
2	8641	1	
2	11714	2	
2	21957	1	
2	20427	2	
2	5069	1	
2	18388	1	
2	14806	1	
2	7644	1	
2	8684	1	
2	20463	1	
2	22355	1	
2	18423	1	
2	4603	1	
2	6652	1	
3	12288	1	
3	11008	1	
3	3588	1	
3	18442	1	
3	2573	1	
3	22032	1	
3	22551	1	
3	13848	1	
3	13316	1	
3	11969	1	
3	22369	1	
3	13864	1	
3	3113	1	
3	18483	1	
3	12341	1	
3	19001	1	
3	13884	1	
3	62	1	
3	14689	1	
3	13388	1	
3	18510	1	
3	22098	1	
3	21076	1	
3	19543	1	
3	15448	1	
3	19549	1	
3	15456	2	
3	12390	1	
3	17000	1	
3	21613	1	
3	13937	1	
3	1140	4	
3	1141	1	
3	3702	1	
3	11898	1	
3	11388	1	
3	5246	1	
3	18050	1	
3	1670	1	
3	6791	2	
3	17546	1	
3	5058	1	
3	2196	1	
3	22167	1	
3	5276	1	
3	13475	1	
3	6310	1	
3	7847	1	
3	5800	1	
3	22188	1	
3	22200	1	
3	3258	1	
3	13514	3	
3	12481	1	
3	11970	1	
3	9417	1	
3	8906	1	
3	5841	1	
3	10452	1	
3	2265	1	
3	18042	1	
3	13537	2	
3	13538	2	
3	1148	1	
3	20180	2	
3	17150	1	
3	14592	1	
3	11521	1	
3	3332	1	
3	19718	1	
3	17671	1	
3	4364	1	
3	15119	1	
3	19733	1	
3	3289	1	
3	17688	1	
3	17180	1	
3	22303	1	
3	6790	1	
3	5414	1	
3	16679	1	
3	6441	1	
3	12081	1	
3	7475	1	
3	19804	1	
3	20799	1	
3	6477	1	
3	11600	1	
3	12625	1	
3	14677	2	
3	17750	2	
3	4444	1	
3	13148	1	
3	15713	1	
3	5988	1	
3	879	1	
3	15216	1	
3	22386	1	
3	897	1	
3	4496	1	
3	9617	3	
3	2460	1	
3	22416	1	
3	18853	1	
3	4007	2	
3	22442	1	
3	8619	1	
3	16301	1	
3	18866	1	
3	5620	1	
3	8636	1	
3	5565	2	
3	5567	1	
3	8641	3	
3	4034	1	
3	4035	2	
3	7380	1	
3	17996	1	
3	20427	1	
3	11732	1	
3	3321	3	
3	21980	1	
3	8158	1	
3	8160	1	
3	2214	1	
3	3562	1	
3	20463	1	
3	20468	1	
3	4603	1	
3	9726	2	
4	12288	1	
4	8193	1	
4	13316	1	
4	15369	1	
4	9047	1	
4	3084	1	
4	4115	1	
4	17941	2	
4	17435	1	
4	18463	1	
4	859	2	
4	13863	1	
4	1576	2	
4	11307	1	
4	1580	1	
4	10798	1	
4	1076	2	
4	1590	1	
4	21059	1	
4	4364	2	
4	20554	1	
4	1099	3	
4	16226	1	
4	10837	1	
4	15119	1	
4	8797	3	
4	7952	1	
4	22119	1	
4	8636	2	
4	20076	1	
4	5230	1	
4	21104	1	
4	13937	1	
4	1140	1	
4	1141	2	
4	11898	2	
4	4543	1	
4	2173	1	
4	13950	2	
4	6790	1	
4	21612	1	
4	11915	1	
4	13452	2	
4	16835	1	
4	14484	2	
4	18030	1	
4	13978	1	
4	13979	2	
4	13981	1	
4	17568	1	
4	16547	2	
4	13476	2	
4	13478	1	
4	13480	1	
4	17067	1	
4	22188	1	
4	4276	1	
4	9247	1	
4	6844	1	
4	19133	2	
4	9918	2	
4	11969	1	
4	14530	1	
4	13514	1	
4	8919	1	
4	7897	2	
4	14557	1	
4	12510	1	
4	1147	1	
4	4326	1	
4	18745	1	
4	18174	1	
4	11008	1	
4	14595	1	
4	19718	1	
4	11528	1	
4	17163	1	
4	5900	1	
4	17679	1	
4	10000	1	
4	4884	1	
4	22295	1	
4	4996	1	
4	22303	1	
4	17185	1	
4	21797	1	
4	7463	1	
4	15660	1	
4	21295	2	
4	15666	1	
4	16180	1	
4	11711	1	
4	5432	1	
4	21305	2	
4	9033	1	
4	20300	1	
4	11600	1	
4	13113	2	
4	15707	1	
4	5433	2	
4	15199	1	
4	15202	1	
4	7017	1	
4	8556	1	
4	20882	1	
4	22386	1	
4	16260	1	
4	16775	1	
4	906	1	
4	22418	1	
4	20547	7	
4	18837	1	
4	3991	1	
4	15772	1	
4	4511	1	
4	20905	1	
4	22442	3	
4	18866	5	
4	18867	1	
4	19900	1	
4	16831	2	
4	22464	2	
4	22465	1	
4	11714	1	
4	587	1	
4	7110	1	
4	20427	1	
4	15821	1	
4	13389	1	
4	10709	1	
4	19332	1	
4	7644	1	
4	7646	1	
4	11760	1	
4	5629	1	
4	9726	1	
5	12288	1	
5	2	1	
5	13316	1	
5	7937	1	
5	2063	2	
5	2064	1	
5	18962	1	
5	18963	1	
5	19989	1	
5	19478	1	
5	22551	1	
5	22557	1	
5	15903	1	
5	9768	1	
5	3626	1	
5	22571	1	
5	8236	1	
5	20013	1	
5	20014	1	
5	16432	1	
5	9777	1	
5	12852	1	
5	5687	1	
5	5182	1	
5	16969	1	
5	20407	1	
5	13388	1	
5	13912	1	
5	18521	1	
5	2654	1	
5	18528	1	
5	19553	1	
5	2666	1	
5	21613	2	
5	5742	1	
5	17597	1	
5	13937	1	
5	1138	1	
5	1140	3	
5	1141	3	
5	15993	1	
5	13946	1	
5	12412	1	
5	1669	1	
5	1670	1	
5	18056	1	
5	10377	1	
5	18114	1	
5	3214	1	
5	19599	2	
5	13459	1	
5	14492	1	
5	9887	1	
5	10915	1	
5	19115	1	
5	22188	1	
5	14509	1	
5	12471	1	
5	19133	1	
5	14016	1	
5	17090	1	
5	13514	1	
5	11992	1	
5	9947	1	
5	13532	1	
5	13021	1	
5	2271	1	
5	15584	1	
5	8425	1	
5	21739	3	
5	13552	1	
5	18387	1	
5	12022	1	
5	11511	1	
5	17149	1	
5	8449	1	
5	770	1	
5	11307	1	
5	4364	4	
5	7451	1	
5	8988	1	
5	2846	1	
5	17183	1	
5	20256	1	
5	21797	1	
5	12076	1	
5	8925	1	
5	12081	1	
5	17206	1	
5	5257	1	
5	14138	1	
5	6459	1	
5	8961	1	
5	2442	1	
5	15175	1	
5	9033	1	
5	5450	2	
5	5451	2	
5	19791	1	
5	11600	1	
5	2899	5	
5	9556	1	
5	14677	4	
5	19286	1	
5	2903	1	
5	18042	1	
5	6489	1	
5	19290	1	
5	22368	2	
5	13153	1	
5	20284	1	
5	8043	1	
5	9069	3	
5	9075	1	
5	16758	1	
5	12663	1	
5	7547	1	
5	1281	1	
5	15231	1	
5	2435	1	
5	17290	1	
5	2445	1	
5	9102	1	
5	18831	1	
5	4497	1	
5	22418	1	
5	10136	1	
5	7577	1	
5	20390	1	
5	4007	1	
5	22442	1	
5	22445	1	
5	22455	1	
5	19956	1	
5	22464	1	
5	19396	1	
5	11898	4	
5	13255	1	
5	3528	1	
5	6732	2	
5	20429	2	
5	9167	1	
5	13778	1	
5	16547	1	
5	9684	1	
5	9686	1	
5	16856	1	
5	14315	1	
5	18932	1	
5	20469	1	
5	8184	1	
5	4604	1	
5	12798	1	
6	12288	1	
6	16384	1	
6	5634	1	
6	7683	1	
6	13316	4	
6	17441	1	
6	9729	1	
6	7688	1	
6	18964	1	
6	22551	1	
6	21508	1	
6	9647	1	
6	6746	1	
6	18975	1	
6	11808	1	
6	545	1	
6	547	1	
6	15281	1	
6	11817	1	
6	17671	1	
6	15404	1	
6	10798	1	
6	8236	1	
6	7216	2	
6	22024	1	
6	1076	1	
6	18997	1	
6	19124	1	
6	11835	1	
6	7471	1	
6	12350	1	
6	2111	1	
6	12352	1	
6	4161	1	
6	12354	1	
6	20547	1	
6	16710	1	
6	268	1	
6	11850	1	
6	1099	1	
6	588	2	
6	13389	3	
6	20047	1	
6	13914	1	
6	8797	2	
6	19552	1	
6	14800	1	
6	8636	2	
6	21613	2	
6	21102	1	
6	13937	1	
6	1140	3	
6	1141	2	
6	2166	1	
6	10360	1	
6	14969	1	
6	18042	1	
6	1147	1	
6	22140	1	
6	2173	3	
6	14465	1	
6	14978	1	
6	11909	1	
6	6791	1	
6	11913	1	
6	13452	1	
6	7533	2	
6	18200	2	
6	7278	1	
6	19094	1	
6	3524	1	
6	5276	1	
6	17093	1	
6	18080	1	
6	6822	1	
6	22186	6	
6	22188	2	
6	3245	1	
6	16048	1	
6	3528	4	
6	20658	1	
6	15540	1	
6	20254	1	
6	12471	1	
6	16194	1	
6	7869	1	
6	19476	1	
6	10357	1	
6	11973	1	
6	8993	1	
6	9417	1	
6	13514	1	
6	21195	1	
6	13516	6	
6	18128	1	
6	4216	1	
6	2770	1	
6	8770	2	
6	15709	1	
6	633	1	
6	12505	1	
6	6875	1	
6	13532	3	
6	11898	6	
6	2271	1	
6	5840	1	
6	229	1	
6	6609	1	
6	16616	2	
6	21739	1	
6	10480	1	
6	16625	2	
6	3318	1	
6	249	1	
6	22267	1	
6	3332	2	
6	16135	1	
6	19721	1	
6	4364	2	
6	10515	1	
6	4868	1	
6	17688	1	
6	12570	1	
6	9263	1	
6	7964	1	
6	12062	1	
6	15664	1	
6	5414	1	
6	8753	1	
6	15660	1	
6	12594	1	
6	6446	1	
6	7901	1	
6	18736	1	
6	14130	1	
6	7475	1	
6	12093	1	
6	1342	1	
6	16706	1	
6	11075	1	
6	3396	1	
6	8006	1	
6	7137	1	
6	328	1	
6	17225	1	
6	9035	1	
6	4942	1	
6	8026	2	
6	5981	1	
6	13152	1	
6	4454	1	
6	13159	1	
6	360	1	
6	8043	1	
6	22418	1	
6	15216	1	
6	22386	1	
6	20851	1	
6	12663	1	
6	12671	1	
6	18818	1	
6	16534	1	
6	9606	2	
6	15408	1	
6	19336	1	
6	2442	1	
6	2443	1	
6	2445	1	
6	20882	1	
6	6547	1	
6	12187	1	
6	15772	2	
6	15773	1	
6	15262	1	
6	20384	2	
6	10054	2	
6	22442	2	
6	5551	1	
6	15688	1	
6	11195	1	
6	19900	1	
6	8638	1	
6	5057	1	
6	19396	1	
6	4038	1	
6	18376	1	
6	17996	1	
6	5580	1	
6	6606	1	
6	9167	1	
6	17872	1	
6	8184	1	
6	9684	1	
6	19420	1	
6	19421	1	
6	8158	1	
6	3553	1	
6	17890	2	
6	18406	1	
6	9069	1	
6	4092	1	
6	18410	1	
6	16366	1	
6	15855	1	
6	14322	1	
6	4084	1	
6	17910	1	
6	18936	1	
6	16890	1	
6	11771	1	
6	8188	1	
6	4094	2	
6	9215	1	
7	9729	2	
7	15874	1	
7	5637	1	
7	18946	1	
7	7694	1	
7	18179	1	
7	6678	1	
7	1048	1	
7	13572	1	
7	22557	2	
7	10281	1	
7	1067	1	
7	8236	1	
7	7218	1	
7	12852	1	
7	22585	3	
7	7471	1	
7	8766	1	
7	10818	1	
7	10821	1	
7	13388	1	
7	22098	1	
7	18022	1	
7	9831	1	
7	15976	1	
7	20076	1	
7	21613	1	
7	20078	2	
7	9839	1	
7	21617	1	
7	1140	4	
7	13941	1	
7	10360	1	
7	1669	1	
7	17544	1	
7	2705	1	
7	19310	1	
7	12441	1	
7	11428	1	
7	13937	1	
7	22188	3	
7	1710	1	
7	7855	1	
7	20662	1	
7	12471	1	
7	12575	1	
7	19133	2	
7	17611	2	
7	2763	1	
7	7373	1	
7	8913	1	
7	7380	1	
7	22229	1	
7	17359	2	
7	4831	1	
7	12007	1	
7	21739	2	
7	4844	1	
7	21743	1	
7	15096	1	
7	18686	1	
7	1280	1	
7	14081	1	
7	4867	3	
7	3332	1	
7	18181	1	
7	4364	1	
7	5390	1	
7	19727	1	
7	8978	1	
7	12054	1	
7	18200	2	
7	12058	1	
7	7451	1	
7	7453	1	
7	20255	1	
7	20260	1	
7	5927	1	
7	8490	1	
7	6443	1	
7	12076	1	
7	21295	1	
7	19767	1	
7	21305	2	
7	20794	1	
7	12091	2	
7	12093	1	
7	20290	1	
7	20384	2	
7	20303	1	
7	11600	1	
7	9554	1	
7	14677	9	
7	9047	1	
7	3417	1	
7	2394	2	
7	16220	2	
7	16223	1	
7	16225	1	
7	9570	1	
7	359	1	
7	9069	3	
7	16238	1	
7	18287	1	
7	13681	1	
7	22386	1	
7	18804	1	
7	7542	1	
7	12664	1	
7	9194	1	
7	12670	1	
7	21888	1	
7	7463	1	
7	22252	1	
7	7055	1	
7	4496	6	
7	4500	2	
7	16789	1	
7	10134	1	
7	17818	1	
7	13723	2	
7	14751	1	
7	7072	1	
7	22416	1	
7	9125	1	
7	18866	1	
7	8636	2	
7	12734	1	
7	22464	2	
7	8641	3	
7	8642	1	
7	3528	1	
7	9167	1	
7	7635	1	
7	9687	1	
7	18907	1	
7	8669	1	
7	15838	1	
7	22499	1	
7	22500	1	
7	3050	1	
7	7552	1	
8	7937	1	
8	16259	1	
8	12164	1	
8	21618	1	
8	9863	1	
8	12716	1	
8	8716	1	
8	9870	1	
8	22416	1	
8	11992	1	
8	11545	1	
8	11969	1	
8	283	1	
8	12828	1	
8	9948	1	
8	13727	1	
8	20384	1	
8	22049	1	
8	13218	1	
8	20507	1	
8	932	1	
8	20389	1	
8	12712	1	
8	16220	2	
8	22442	1	
8	12076	1	
8	3058	1	
8	8495	1	
8	9777	1	
8	21299	1	
8	8060	1	
8	13494	1	
8	18911	1	
8	12093	2	
8	11582	1	
8	14399	1	
8	11590	1	
8	21953	1	
8	20036	1	
8	20854	1	
8	12870	1	
8	12743	1	
8	13514	4	
8	2024	1	
8	14798	1	
8	20303	1	
8	11600	1	
8	6609	1	
8	19411	1	
8	14677	3	
8	19286	1	
8	12888	2	
8	11612	1	
8	6494	1	
8	2271	2	
8	9955	2	
8	2789	1	
8	7964	1	
8	18151	1	
8	3560	1	
8	6652	1	
8	22119	1	
8	4844	1	
8	13216	1	
8	15293	1	
8	3184	1	
8	369	1	
8	15218	1	
8	2003	1	
8	5246	2	
8	22262	1	
8	2025	1	
8	1147	1	
8	3580	1	
8	19325	1	
8	3198	1	
9	14336	1	
9	9729	1	
9	12292	1	
9	19116	1	
9	11279	1	
9	8209	1	
9	21015	1	
9	11801	1	
9	26	1	
9	22557	1	
9	18975	1	
9	18977	1	
9	38	1	
9	20519	1	
9	1580	1	
9	3629	1	
9	5169	1	
9	18483	1	
9	17466	4	
9	4668	1	
9	14910	2	
9	11329	1	
9	12354	1	
9	2913	1	
9	13388	1	
9	13901	1	
9	16469	1	
9	15446	1	
9	15448	1	
9	13915	1	
9	11870	1	
9	8033	1	
9	14944	1	
9	5186	1	
9	1638	1	
9	20075	1	
9	20076	3	
9	21613	1	
9	9839	1	
9	9843	1	
9	1140	1	
9	18042	1	
9	1147	1	
9	5248	1	
9	18565	2	
9	6791	1	
9	5399	1	
9	17688	1	
9	22163	1	
9	19098	1	
9	22188	3	
9	13998	1	
9	3760	1	
9	22369	1	
9	19636	4	
9	8373	1	
9	6344	1	
9	9424	1	
9	8568	1	
9	22232	1	
9	2265	1	
9	13532	1	
9	4831	1	
9	2278	1	
9	8940	1	
9	2289	1	
9	18162	1	
9	8961	1	
9	3332	1	
9	16655	1	
9	14096	1	
9	12163	2	
9	12055	1	
9	10008	1	
9	16260	1	
9	18205	3	
9	20254	1	
9	20260	1	
9	3365	2	
9	6443	1	
9	5934	1	
9	6449	1	
9	16695	1	
9	2360	1	
9	20794	1	
9	13117	1	
9	21315	1	
9	9543	1	
9	11600	3	
9	20818	1	
9	9043	1	
9	14677	2	
9	2394	1	
9	8079	1	
9	16220	2	
9	9569	1	
9	2402	1	
9	2407	2	
9	364	1	
9	19310	1	
9	18287	1	
9	20856	1	
9	6522	1	
9	5502	1	
9	5504	1	
9	6530	1	
9	2435	1	
9	2436	1	
9	22082	1	
9	7055	1	
9	4497	1	
9	3987	1	
9	11672	1	
9	8601	1	
9	12191	1	
9	6568	1	
9	8619	4	
9	9651	1	
9	12734	1	
9	11714	2	
9	13800	1	
9	2025	1	
9	8180	1	
9	14334	1	
9	7253	1	
10	20075	1	
10	22489	1	
10	2847	1	
10	14301	1	
10	18990	1	
10	3375	1	
10	12081	1	
10	9887	2	
10	3141	1	
10	9038	2	
10	13399	1	
10	15448	1	
10	18905	1	
10	2522	2	
10	11101	1	
10	12265	1	
10	16106	1	
10	20203	1	
10	13677	1	
10	11375	1	
10	1140	1	
10	17016	1	
10	637	1	
